feature,return_window,spearman_rho,p_value,n,significant_raw,significant_bonferroni,bonferroni_alpha
lm_uncertainty_remarks,return_1d,-0.16553568428323406,0.05321757661879162,137,False,False,0.0006944444444444445
fls_ratio,return_1d,-0.13729534974891258,0.10962911910399345,137,False,False,0.0006944444444444445
lm_litigious,return_3d,0.11961711322919126,0.16384423840113996,137,False,False,0.0006944444444444445
fls_hedging_count,return_1d,-0.11253881475887534,0.1904234967555396,137,False,False,0.0006944444444444445
lm_positive,return_1d,0.10155972893759216,0.2376462727734984,137,False,False,0.0006944444444444445
lm_uncertainty_qa,return_3d,0.09730337707917187,0.25798862622232177,137,False,False,0.0006944444444444445
lm_litigious,return_7d,0.09590837599921502,0.2649081953456322,137,False,False,0.0006944444444444445
fls_positive_count,return_1d,-0.09421346681749934,0.27348415021637407,137,False,False,0.0006944444444444445
fls_count,return_1d,-0.08717689327107607,0.31107925469399833,137,False,False,0.0006944444444444445
fls_hedging_count,return_7d,-0.0858267957668504,0.31866073959182806,137,False,False,0.0006944444444444445
fls_ratio,return_3d,-0.08567774936061379,0.319504982731481,137,False,False,0.0006944444444444445
lm_uncertainty_remarks,return_7d,-0.08543506263184422,0.32088272590141365,137,False,False,0.0006944444444444445
fls_hedging_count,return_3d,-0.08454370643615361,0.32597587911237547,137,False,False,0.0006944444444444445
lm_strong_modal,return_1d,-0.07791177403998731,0.3654893346235513,137,False,False,0.0006944444444444445
lm_negative,return_3d,0.07760374857654899,0.36739365254053274,137,False,False,0.0006944444444444445
negative_ratio,return_3d,-0.07685719952883585,0.3720343730605696,137,False,False,0.0006944444444444445
lm_strong_modal,return_7d,-0.07399144995986334,0.39017992407444324,137,False,False,0.0006944444444444445
lm_negative_remarks,return_3d,0.0725820847981583,0.3992956360800148,137,False,False,0.0006944444444444445
lm_weak_modal,return_3d,0.07214329717923347,0.4021593556626485,137,False,False,0.0006944444444444445
lm_constraining,return_7d,0.06922638938152219,0.42150393371773576,137,False,False,0.0006944444444444445
lm_uncertainty,return_3d,0.06795695110795825,0.4300884197334223,137,False,False,0.0006944444444444445
lm_positive,return_3d,0.06696286893049824,0.4368803491729905,137,False,False,0.0006944444444444445
lm_negative_remarks,return_7d,0.06686727237304611,0.4375367031125255,137,False,False,0.0006944444444444445
neutral_ratio,return_3d,0.0665756589311904,0.43954234723748337,137,False,False,0.0006944444444444445
lm_uncertainty_remarks,return_3d,-0.06363526051486923,0.46005504253295515,137,False,False,0.0006944444444444445
lm_uncertainty_qa,return_7d,0.06059700935277316,0.4817953962627524,137,False,False,0.0006944444444444445
lm_negative_remarks,return_1d,0.05800219585079163,0.5007914858599586,137,False,False,0.0006944444444444445
fls_positive_count,return_3d,-0.05517840262720276,0.5219014290326007,137,False,False,0.0006944444444444445
fls_count,return_3d,-0.05506941554146952,0.5227251616707395,137,False,False,0.0006944444444444445
lm_strong_modal,return_3d,-0.05112289282580693,0.5529914016224564,137,False,False,0.0006944444444444445
lm_constraining,return_1d,0.0489107099520227,0.5703204729114449,137,False,False,0.0006944444444444445
sentiment_std,return_3d,-0.04477103440551085,0.6034186458882494,137,False,False,0.0006944444444444445
lm_weak_modal,return_7d,0.041578770511695624,0.6295100348349038,137,False,False,0.0006944444444444445
sentiment_std,return_7d,0.040206657083652245,0.6408694045504963,137,False,False,0.0006944444444444445
