ticker,quarter,date,prev_quarter,is_shift_event,max_z_score,sentiment_overall,lm_uncertainty,fls_hedging_count,return_1d,return_3d,return_7d,sentiment_overall_delta,sentiment_overall_zscore,lm_uncertainty_delta,lm_uncertainty_zscore,fls_hedging_count_delta,fls_hedging_count_zscore
AAPL,2020-Q1,2020-01-28,2019-Q3,False,0.7738,0.3355745631520466,0.0044144019864808,0,0.0209319069689038,-0.0257485220243551,0.0236709227862146,0.016014,0.5443,0.001021,0.4326,-2,-0.7738
AAPL,2020-Q2,2020-04-30,2020-Q1,True,2.0022,0.2365612812272173,0.0070514494646121,3,-0.0160994982999027,0.0127977480778122,0.075094344164848,-0.099013,-2.0022,0.002637,1.2577,3,0.7055
AAPL,2020-Q3,2020-07-30,2020-Q2,False,1.0697,0.2706564976142184,0.0085881587508132,0,0.1046888382643185,0.1400873348864446,0.1740385980749659,0.034095,0.9446,0.001537,0.6959,-3,-1.0697
AAPL,2020-Q4,2020-10-29,2020-Q3,True,1.533,0.3003746185285983,0.0057599623839191,1,-0.0560181790936744,-0.042317282479808,0.0104115338872639,0.029718,0.8477,-0.002828,-1.533,1,0.1138
AAPL,2021-Q1,2021-01-27,2020-Q4,False,1.2814,0.2892799562913306,0.00844327176781,2,-0.0349847240167745,-0.0557509606645778,-0.0358694863463755,-0.011095,-0.0558,0.002683,1.2814,1,0.1138
AAPL,2021-Q2,2021-04-28,2021-Q1,False,0.7738,0.2852109024908286,0.0071951073270176,0,-0.0007487114809111,-0.0077857080782849,-0.023572625072288,-0.004069,0.0997,-0.001248,-0.7262,-2,-0.7738
AAPL,2021-Q3,2021-07-27,2021-Q2,False,0.7538,0.2777757555719831,0.0088451476267596,0,-0.0121964890206237,-0.0062005408064187,0.0019757037772054,-0.007435,0.0252,0.00165,0.7538,0,-0.1821
AAPL,2021-Q4,2021-10-28,2021-Q3,False,1.2973,0.2411446899373447,0.0068501382045427,5,-0.0181558350423112,-0.0167134562924028,-0.0125218373194928,-0.036631,-0.6211,-0.001995,-1.1075,5,1.2973
AAPL,2022-Q1,2022-01-27,2021-Q4,False,1.3656,0.2729887280112771,0.0078473819510215,1,0.069777536157438,0.0966584736217218,0.0795043979874823,0.031844,0.8948,0.000997,0.4204,-4,-1.3656
AAPL,2022-Q2,2022-04-28,2022-Q1,False,1.4162,0.2004426660189448,0.0089488278295941,2,-0.0366048490056878,-0.0254216149108519,-0.0694000436830211,-0.072546,-1.4162,0.001101,0.4736,1,0.1138
AAPL,2022-Q3,2022-07-28,2022-Q2,True,2.1849,0.1728069049585137,0.009904965868023,10,0.0327931001426104,0.0169049273259692,0.0492469711329874,-0.027636,-0.422,0.000956,0.3994,8,2.1849
AAPL,2022-Q4,2022-10-27,2022-Q3,True,1.5871,0.2359257385776988,0.0082497778905952,8,0.075552672786759,0.0404006962830407,-0.0390162594380381,0.063119,1.5871,-0.001655,-0.934,-2,-0.7738
AAPL,2023-Q1,2023-02-02,2022-Q4,False,1.4141,0.2081100856249823,0.005654281098546,10,0.0243998363921403,0.0253943739907499,0.0216477169991094,-0.027816,-0.426,-0.002595,-1.4141,2,0.4097
AMZN,2020-Q2,2020-07-30,2019-Q1,False,1.1289,0.2429157805192885,0.0120074412311855,2,0.0369608215671373,0.028490660373585,0.0315478380864765,0.097638,1.1289,0.002679,1.0498,1,0.6995
AMZN,2020-Q4,2021-02-02,2020-Q2,True,1.5208,0.2197667761999917,0.0085173501577287,2,-0.019961565909301,-0.0082396558050573,-0.0348727435049926,-0.023149,-0.2935,-0.00349,-1.5208,0,-0.0777
AMZN,2021-Q1,2021-04-29,2020-Q4,False,1.1649,0.3204646673776321,0.0083523158694001,1,-0.0011206361718006,-0.0459307860567787,-0.0808974126904683,0.100698,1.1649,-0.000165,-0.1354,-1,-0.8549
AMZN,2021-Q2,2021-07-29,2021-Q1,False,0.6995,0.2834990157745778,0.0097936341378104,2,-0.0756489071327776,-0.0649125846945181,-0.0716821272716391,-0.036966,-0.4562,0.001441,0.5339,1,0.6995
AMZN,2021-Q3,2021-10-28,2021-Q2,False,1.3022,0.1984813354969505,0.0068281580230856,3,-0.0215112450537781,-0.0388270615149781,0.0123049790232997,-0.085018,-1.0221,-0.002965,-1.3022,1,0.6995
AMZN,2021-Q4,2022-02-03,2021-Q3,True,2.4093,0.2577095362791641,0.0083129584352078,0,0.1353590173571185,0.1625403228066442,0.1175515384071814,0.059228,0.6766,0.001485,0.552,-3,-2.4093
AMZN,2022-Q1,2022-04-28,2021-Q4,True,1.8692,0.1007546041305111,0.011504917424383,0,-0.140494377749234,-0.1406880192176758,-0.247637363031638,-0.156955,-1.8692,0.003192,1.2633,0,-0.0777
AMZN,2022-Q2,2022-07-28,2022-Q1,False,1.15,0.1865647137425579,0.0089047195013357,1,0.1036146409505072,0.0971541135214984,0.140088363214089,0.08581,0.9896,-0.0026,-1.15,1,0.6995
AMZN,2022-Q3,2022-10-27,2022-Q2,False,0.6995,0.1616318152953328,0.0093495126317883,2,-0.0680424971580574,-0.1277036615524649,-0.1841204080185927,-0.024933,-0.3145,0.000445,0.1187,1,0.6995
AMZN,2022-Q4,2023-02-02,2022-Q3,False,0.5905,0.1630326824330062,0.0109266943291839,2,-0.0843149762083984,-0.0956514276988027,-0.118412915711106,0.001401,-0.0044,0.001577,0.5905,0,-0.0777
BAC,2021-Q1,2021-04-15,2020-Q4,False,1.1463,0.1870541506025017,0.0082552240089431,2,0.0105835154086836,-0.0170364933816337,0.0172947770549368,0.047169,0.7,0.00189,1.1463,-2,-1.0224
BAC,2021-Q2,2021-07-14,2021-Q1,False,1.0224,0.1362502964509743,0.0070696721311475,0,-0.0007717590919556,-0.0496654349279709,-0.0298506968459203,-0.050804,-0.9314,-0.001186,-0.7089,-2,-1.0224
BAC,2021-Q3,2021-10-14,2021-Q2,True,1.5897,0.2368505531891447,0.007049254405784,0,0.0288438067806848,0.0312845655008251,0.0541378236173562,0.1006,1.5897,-2e-05,-0.006,0,0.409
